Domain,Have_IP,Have_At_Sign,Length,Depth,Redirection,HTTPS_Domain,TinyUrl,Prefix_Suffix,Has_DNS,Domain_Age,Domain_End,IFrame,web_Forwarding,Check_Alert_Script,Label
'eadgti.com.br,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
plantogo.cn,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
globecycle.com.my,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
lexingtonfairness.org,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
spbstone.ru,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
krotzon.biz,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
'www.qianzheng08.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1
teradigital.net.br,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
vanbeersmodelcars.nl,0,0,1,8,0,0,0,0,1,1,1,1,1,1,1
aqropols.biz,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1
cnhedge.cn,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
ovclinical.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
livecoupon.us,0,0,0,6,0,0,0,0,1,1,1,1,1,1,1
seniorourtimemedia.9hz.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
machenss.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
paypol2confirme.powa.fr,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
pastehtml.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
successinsimulation.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
gemmagarrett.co.uk,0,0,0,4,0,0,1,0,1,1,1,1,1,1,1
toujoursports.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
erisahealthinfo.com,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1
ecoleprivee-chateauneuf.fr,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1
beiernh.cn,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1
ricardoconti.art.br,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
ryangraber.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1
duckies-fiestas.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
zombiewebhosting.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
web.rivercitytv.ca,0,1,0,2,0,0,0,0,1,1,1,1,1,1,1
skincare.geshaeshmarketing.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
q1wsc3dcc0cf3dg.blogspot.de,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.98842551596541054654695421054669451215645654609885421254698494.bbwhotbabes.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
'filostudios.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
paypal.com-service.confirm.cgi-bin.webscr-cmd.login.submit.new-load.5885d80a13c0db1f8e263663d3faee8dcbc13c0db1f8e26load.5885d800db1f8e26load.5885d800db1f8e26load.5885d80.horsecanvaswoolsupplies.com.au,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
bedandbreakfast-rimini.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1
habbo3dmaguinifico.rel7.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
kizitowangalwa.co.ke,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
devbeyond.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
'9d345009-a-62cb3a1a-s-sites.googlegroups.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
paypal.com-us.cgi-bin-webscr-cmd.login-submit-dispatch.48975805705828754758210805704785764725840104057557.perobalinfo.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
bloggerdirectory.info,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
chequeturismo.com.br,0,0,0,6,0,0,0,0,1,1,1,1,1,1,1
toddbeckett.com,0,0,1,12,0,0,1,0,1,1,1,1,1,1,1
3tigg.ufh7.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
successinsimulation.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
us.battle.net.login.ok.yv-login.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
muscleworshiponline.info,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
exinoman.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
redelima.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
paypal.com.cgi-bin-webscr.bluestatedc.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
reveaile.com,0,0,0,7,0,0,0,0,1,1,1,1,1,1,1
alchonour.solidwebhost.com,0,0,1,5,0,0,1,0,1,1,1,1,1,1,1
'www.lionak.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
cielocadastre.eu,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
id204-natwest.com,0,0,0,2,0,0,1,0,1,1,1,1,1,1,1
dev.grimur.is,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1
nastaleeq.org,0,0,1,9,0,0,0,0,1,1,1,1,1,1,1
paypal.com.cgi.bin.href.source.dispatch215120512105118.animalia.cl,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
luciodiaenoite.com.br,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
