Domain,Have_IP,Have_At_Sign,Length,Depth,Redirection,HTTPS_Domain,TinyUrl,Prefix_Suffix,Has_DNS,Domain_Age,Domain_End,IFrame,web_Forwarding,Check_Alert_Script,Label
searchhomeremedy.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
decolalab.com.br,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
yxnigvrefacing.download,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
huaraytech.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
ecourbanhub.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
gabrielemaltinti.net,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
murphyauction.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
kulinarskikutak.info,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
bgextras.co.uk,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
getweapp.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
gsk-china.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
30daystopro.pl,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
teknikmagasinet.no,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
shemalesfucked.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
usmanalitoo.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
leancloud.cn,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
bojna.ir,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
informadb.pt,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
pimpbus.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
rayanworld.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
4freeapp.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
hyundai.co.nz,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
torch.id,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
